path,category,theme,dependencies,parameters,num_dependencies,num_parameters,ignored_dependencies,ignored_parameters,errors,export_name
metacatui-es6/src/js/models/maps/assets/CesiumImagery.js,model,,"['jquery', 'underscore', 'backbone', 'cesium', 'models/maps/assets/MapAsset']","['$', '_', 'Backbone', 'Cesium', 'MapAsset']",5,5,[],[],[],CesiumImagery
metacatui-es6/src/js/models/maps/assets/CesiumGeohash.js,model,,"['jquery', 'underscore', 'backbone', 'cesium', 'models/maps/assets/CesiumVectorData', 'models/maps/AssetColorPalette', 'models/maps/AssetColor', 'models/maps/Geohash', 'collections/maps/Geohashes']","['$', '_', 'Backbone', 'Cesium', 'CesiumVectorData', 'AssetColorPalette', 'AssetColor', 'Geohash', 'Geohashes']",9,9,[],[],[],CesiumGeohash
metacatui-es6/src/js/models/maps/assets/CesiumVectorData.js,model,,"['jquery', 'underscore', 'backbone', 'cesium', 'models/maps/assets/MapAsset', 'models/maps/AssetColor', 'models/maps/AssetColorPalette', 'collections/maps/VectorFilters']","['$', '_', 'Backbone', 'Cesium', 'MapAsset', 'AssetColor', 'AssetColorPalette', 'VectorFilters']",8,8,[],[],[],false
metacatui-es6/src/js/models/maps/assets/MapAsset.js,model,,"['jquery', 'underscore', 'backbone', 'models/portals/PortalImage', 'models/maps/AssetColorPalette']","['$', '_', 'Backbone', 'PortalImage', 'AssetColorPalette', 'dayjs']",5,6,[None],[],[],MapAsset
metacatui-es6/src/js/models/maps/assets/CesiumTerrain.js,model,,"['jquery', 'underscore', 'backbone', 'cesium', 'models/maps/assets/MapAsset']","['$', '_', 'Backbone', 'Cesium', 'MapAsset']",5,5,[],[],[],CesiumTerrain
metacatui-es6/src/js/models/maps/assets/Cesium3DTileset.js,model,,"['jquery', 'underscore', 'backbone', 'cesium', 'models/maps/assets/MapAsset', 'models/maps/AssetColor', 'models/maps/AssetColorPalette', 'collections/maps/VectorFilters']","['$', '_', 'Backbone', 'Cesium', 'MapAsset', 'AssetColor', 'AssetColorPalette', 'VectorFilters']",8,8,[],[],[],bSphere
metacatui-es6/src/js/models/filters/BooleanFilter.js,model,,"['jquery', 'underscore', 'backbone', 'models/filters/Filter']","['$', '_', 'Backbone', 'Filter']",4,4,[],[],[],BooleanFilter
metacatui-es6/src/js/models/filters/NumericFilter.js,model,,"['jquery', 'underscore', 'backbone', 'models/filters/Filter']","['$', '_', 'Backbone', 'Filter']",4,4,[],[],[],NumericFilter
metacatui-es6/src/js/models/filters/DateFilter.js,model,,"['jquery', 'underscore', 'backbone', 'models/filters/Filter']","['$', '_', 'Backbone', 'Filter']",4,4,[],[],[],DateFilter
metacatui-es6/src/js/models/filters/FilterGroup.js,model,,"['jquery', 'underscore', 'backbone', 'collections/Filters', 'models/filters/Filter']","['$', '_', 'Backbone', 'Filters', 'Filter']",5,5,[],[],[],FilterGroup
metacatui-es6/src/js/models/filters/SpatialFilter.js,model,,"['underscore', 'jquery', 'backbone', 'models/filters/Filter', 'collections/maps/Geohashes', 'collections/Filters']","['_', '$', 'Backbone', 'Filter', 'Geohashes', 'Filters']",6,6,[],[],[],SpatialFilter
metacatui-es6/src/js/models/filters/ChoiceFilter.js,model,,"['jquery', 'underscore', 'backbone', 'models/filters/Filter']","['$', '_', 'Backbone', 'Filter']",4,4,[],[],[],ChoiceFilter
metacatui-es6/src/js/models/filters/ToggleFilter.js,model,,"['jquery', 'underscore', 'backbone', 'models/filters/Filter']","['$', '_', 'Backbone', 'Filter']",4,4,[],[],[],ToggleFilter
metacatui-es6/src/js/models/filters/Filter.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],FilterModel
metacatui-es6/src/js/models/connectors/Map-Search-Filters.js,model,,"['backbone', 'models/maps/Map', 'collections/SolrResults', 'collections/Filters', 'models/connectors/Map-Search', 'models/connectors/Filters-Search', 'models/connectors/Filters-Map', 'models/filters/FilterGroup']","['Backbone', 'Map', 'SearchResults', 'Filters', 'MapSearchConnector', 'FiltersSearchConnector', 'FiltersMapConnector', 'FilterGroup']",8,8,[],[],[],MapSearchFiltersConnector
metacatui-es6/src/js/models/connectors/Map-Search.js,model,,"['backbone', 'models/maps/Map', 'collections/SolrResults']","['Backbone', 'Map', 'SearchResults']",3,3,[],[],[],MapSearchConnector
metacatui-es6/src/js/models/connectors/Filters-Map.js,model,,"['backbone', 'collections/Filters', 'models/maps/Map']","['Backbone', 'Filters', 'Map']",3,3,[],[],[],FiltersMapConnector
metacatui-es6/src/js/models/connectors/Filters-Search.js,model,,"['backbone', 'collections/Filters', 'collections/SolrResults']","['Backbone', 'Filters', 'SearchResults']",3,3,[],[],[],FiltersSearchConnector
metacatui-es6/src/js/models/formats/ObjectFormat.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],ObjectFormat
metacatui-es6/src/js/models/projects/Project.js,model,,"['jquery', 'backbone']","['$', 'Backbone']",2,2,[],[],[],Project
metacatui-es6/src/js/models/bookkeeper/Quota.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],Quota
metacatui-es6/src/js/models/bookkeeper/Subscription.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],Subscription
metacatui-es6/src/js/models/bookkeeper/Usage.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],Usage
metacatui-es6/src/js/models/portals/PortalModel.js,model,,"['jquery', 'underscore', 'backbone', 'gmaps', 'uuid', 'collections/Filters', 'collections/SolrResults', 'models/filters/Filter', 'models/portals/PortalSectionModel', 'models/portals/PortalVizSectionModel', 'models/portals/PortalImage', 'models/metadata/eml211/EMLParty', 'models/metadata/eml220/EMLText', 'models/CollectionModel', 'models/Search', 'models/filters/FilterGroup', 'models/Map']","['$', '_', 'Backbone', 'gmaps', 'uuid', 'Filters', 'SolrResults', 'FilterModel', 'PortalSectionModel', 'PortalVizSectionModel', 'PortalImage', 'EMLParty', 'EMLText', 'CollectionModel', 'SearchModel', 'FilterGroup', 'MapModel']",17,17,[],[],[],PortalModel
metacatui-es6/src/js/models/portals/PortalImage.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],PortalImageModel
metacatui-es6/src/js/models/portals/PortalVizSectionModel.js,model,,"['jquery', 'underscore', 'backbone', 'models/portals/PortalSectionModel', 'models/maps/Map']","['$', '_', 'Backbone', 'PortalSectionModel', 'Map']",5,5,[],[],[],PortalVizSectionModel
metacatui-es6/src/js/models/portals/PortalSectionModel.js,model,,"['jquery', 'underscore', 'backbone', 'models/portals/PortalImage', 'models/metadata/eml220/EMLText']","['$', '_', 'Backbone', 'PortalImage', 'EMLText']",5,5,[],[],[],PortalSectionModel
metacatui-es6/src/js/models/queryFields/QueryField.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],QueryField
metacatui-es6/src/js/models/metadata/ScienceMetadata.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],ScienceMetadata
metacatui-es6/src/js/models/metadata/eml/EMLMethodStep.js,model,,[],[],0,0,[],[],['No require/define statement found'],EMLMethodStep
metacatui-es6/src/js/models/metadata/eml/EMLSpecializedText.js,model,,"['jquery', 'underscore', 'backbone', 'models/metadata/eml220/EMLText']","['$', '_', 'Backbone', 'EMLText']",4,4,[],[],[],EMLSpecializedText
metacatui-es6/src/js/models/metadata/eml220/EMLText.js,model,,"['jquery', 'underscore', 'backbone', 'models/metadata/eml211/EMLText', 'text!templates/portals/editor/MarkdownExample.md']","['$', '_', 'Backbone', 'EMLText211', 'MarkdownExample']",5,5,[],[],[],EMLText
metacatui-es6/src/js/models/metadata/eml211/EMLDistribution.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLDistribution
metacatui-es6/src/js/models/metadata/eml211/EMLParty.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLParty
metacatui-es6/src/js/models/metadata/eml211/EMLAnnotation.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],EMLAnnotation
metacatui-es6/src/js/models/metadata/eml211/EMLGeoCoverage.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLGeoCoverage
metacatui-es6/src/js/models/metadata/eml211/EMLEntity.js,model,,"['jquery', 'underscore', 'backbone', 'uuid', 'models/DataONEObject', 'models/metadata/eml211/EMLAttribute']","['$', '_', 'Backbone', 'uuid', 'DataONEObject', 'EMLAttribute']",6,6,[],[],[],EMLEntity
metacatui-es6/src/js/models/metadata/eml211/EMLProject.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject', 'models/metadata/eml211/EMLParty']","['$', '_', 'Backbone', 'DataONEObject', 'EMLParty']",5,5,[],[],[],EMLProject
metacatui-es6/src/js/models/metadata/eml211/EMLAttribute.js,model,,"['jquery', 'underscore', 'backbone', 'uuid', 'models/metadata/eml211/EMLMeasurementScale', 'models/metadata/eml211/EMLAnnotation', 'collections/metadata/eml/EMLMissingValueCodes', 'models/DataONEObject']","['$', '_', 'Backbone', 'uuid', 'EMLMeasurementScale', 'EMLAnnotation', 'EMLMissingValueCodes', 'DataONEObject']",8,8,[],[],[],EMLAttribute
metacatui-es6/src/js/models/metadata/eml211/EMLMissingValueCode.js,model,,['backbone'],['Backbone'],1,1,[],[],[],EMLMissingValueCode
metacatui-es6/src/js/models/metadata/eml211/EMLDataTable.js,model,,"['jquery', 'underscore', 'backbone', 'models/metadata/eml211/EMLEntity']","['$', '_', 'Backbone', 'EMLEntity']",4,4,[],[],[],EMLDataTable
metacatui-es6/src/js/models/metadata/eml211/EMLKeywordSet.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLKeywordSet
metacatui-es6/src/js/models/metadata/eml211/EMLOtherEntity.js,model,,"['jquery', 'underscore', 'backbone', 'models/metadata/eml211/EMLEntity']","['$', '_', 'Backbone', 'EMLEntity']",4,4,[],[],[],EMLOtherEntity
metacatui-es6/src/js/models/metadata/eml211/EMLNonNumericDomain.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLNonNumericDomain
metacatui-es6/src/js/models/metadata/eml211/EMLMethods.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject', 'models/metadata/eml/EMLMethodStep', 'models/metadata/eml211/EMLText']","['$', '_', 'Backbone', 'DataONEObject', 'EMLMethodStep', 'EMLText']",6,6,[],[],[],EMLMethods
metacatui-es6/src/js/models/metadata/eml211/EMLTemporalCoverage.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLTemporalCoverage
metacatui-es6/src/js/models/metadata/eml211/EML211.js,model,,"['jquery', 'underscore', 'backbone', 'uuid', 'collections/Units', 'models/metadata/ScienceMetadata', 'models/DataONEObject', 'models/metadata/eml211/EMLGeoCoverage', 'models/metadata/eml211/EMLKeywordSet', 'models/metadata/eml211/EMLTaxonCoverage', 'models/metadata/eml211/EMLTemporalCoverage', 'models/metadata/eml211/EMLDistribution', 'models/metadata/eml211/EMLEntity', 'models/metadata/eml211/EMLDataTable', 'models/metadata/eml211/EMLOtherEntity', 'models/metadata/eml211/EMLParty', 'models/metadata/eml211/EMLProject', 'models/metadata/eml211/EMLText', 'models/metadata/eml211/EMLMethods', 'collections/metadata/eml/EMLAnnotations', 'models/metadata/eml211/EMLAnnotation']","['$', '_', 'Backbone', 'uuid', 'Units', 'ScienceMetadata', 'DataONEObject', 'EMLGeoCoverage', 'EMLKeywordSet', 'EMLTaxonCoverage', 'EMLTemporalCoverage', 'EMLDistribution', 'EMLEntity', 'EMLDataTable', 'EMLOtherEntity', 'EMLParty', 'EMLProject', 'EMLText', 'EMLMethods', 'EMLAnnotations', 'EMLAnnotation']",21,21,[],[],[],true
metacatui-es6/src/js/models/metadata/eml211/EMLMeasurementScale.js,model,,"['jquery', 'underscore', 'backbone', 'models/metadata/eml211/EMLNonNumericDomain', 'models/metadata/eml211/EMLNumericDomain', 'models/metadata/eml211/EMLDateTimeDomain']","['$', '_', 'Backbone', 'EMLNonNumericDomain', 'EMLNumericDomain', 'EMLDateTimeDomain']",6,6,[],[],[],EMLMeasurementScale
metacatui-es6/src/js/models/metadata/eml211/EMLNumericDomain.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLNumericDomain
metacatui-es6/src/js/models/metadata/eml211/EMLText.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],text
metacatui-es6/src/js/models/metadata/eml211/EMLDateTimeDomain.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLDateTimeDomain
metacatui-es6/src/js/models/metadata/eml211/EMLTaxonCoverage.js,model,,"['jquery', 'underscore', 'backbone', 'models/DataONEObject']","['$', '_', 'Backbone', 'DataONEObject']",4,4,[],[],[],EMLTaxonCoverage
metacatui-es6/src/js/models/metadata/eml211/EMLUnit.js,model,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],EMLUnit
metacatui-es6/src/js/models/analytics/GoogleAnalytics.js,model,,['models/analytics/Analytics'],['Analytics'],1,1,[],[],[],GoogleAnalytics
metacatui-es6/src/js/models/analytics/Analytics.js,model,,['backbone'],['Backbone'],1,1,[],[],[],Analytics
metacatui-es6/src/js/themes/drp/models/Map.js,model,drp,"['jquery', 'underscore', 'backbone', 'gmaps', 'models/BaseMap']","['$', '_', 'Backbone', 'gmaps', 'BaseMap']",5,5,[],[],[],Map
metacatui-es6/src/js/themes/arctic/models/Map.js,model,arctic,"['jquery', 'underscore', 'backbone', 'gmaps']","['$', '_', 'Backbone', 'gmaps']",4,4,[],[],[],Map
metacatui-es6/src/js/themes/sctld/models/Map.js,model,sctld,"['jquery', 'underscore', 'backbone', 'gmaps', 'models/BaseMap']","['$', '_', 'Backbone', 'gmaps', 'BaseMap']",5,5,[],[],[],Map
metacatui-es6/src/js/collections/ObjectFormats.js,collection,,"['jquery', 'underscore', 'backbone', 'x2js', 'models/formats/ObjectFormat']","['$', '_', 'Backbone', 'X2JS', 'ObjectFormat']",5,5,[],[],[],ObjectFormats
metacatui-es6/src/js/collections/DataPackage.js,collection,,"['jquery', 'underscore', 'backbone', 'rdflib', 'uuid', 'md5', 'collections/SolrResults', 'models/filters/Filter', 'models/DataONEObject', 'models/metadata/ScienceMetadata', 'models/metadata/eml211/EML211']","['$', '_', 'Backbone', 'rdf', 'uuid', 'md5', 'SolrResults', 'Filter', 'DataONEObject', 'ScienceMetadata', 'EML211']",11,11,[],[],[],m
metacatui-es6/src/js/collections/Citations.js,collection,,"['jquery', 'underscore', 'backbone', 'models/CitationModel']","['$', '_', 'Backbone', 'CitationModel']",4,4,[],[],[],Citations
metacatui-es6/src/js/collections/AccessPolicy.js,collection,,"['jquery', 'underscore', 'backbone', 'models/AccessRule']","['$', '_', 'Backbone', 'AccessRule']",4,4,[],[],[],AccessPolicy
metacatui-es6/src/js/collections/UserGroup.js,collection,,"['jquery', 'underscore', 'backbone', 'models/UserModel']","['$', '_', 'Backbone', 'UserModel']",4,4,[],[],[],UserGroup
metacatui-es6/src/js/collections/Units.js,collection,,"['jquery', 'underscore', 'backbone', 'x2js', 'models/metadata/eml211/EMLUnit']","['$', '_', 'Backbone', 'X2JS', 'EMLUnit']",5,5,[],[],[],Units
metacatui-es6/src/js/collections/ProjectList.js,collection,,"['jquery', 'backbone', 'models/projects/Project']","['$', 'Backbone', 'Project']",3,3,[],[],[],ProjectList
metacatui-es6/src/js/collections/QualityReport.js,collection,,"['jquery', 'underscore', 'backbone', 'rdflib', 'uuid', 'md5', 'models/QualityCheckModel']","['$', '_', 'Backbone', 'rdf', 'uuid', 'md5', 'QualityCheck']",7,7,[],[],[],color
metacatui-es6/src/js/collections/Filters.js,collection,,"['jquery', 'underscore', 'backbone', 'models/filters/Filter', 'models/filters/BooleanFilter', 'models/filters/ChoiceFilter', 'models/filters/DateFilter', 'models/filters/NumericFilter', 'models/filters/ToggleFilter', 'models/filters/SpatialFilter']","['$', '_', 'Backbone', 'Filter', 'BooleanFilter', 'ChoiceFilter', 'DateFilter', 'NumericFilter', 'ToggleFilter', 'SpatialFilter']",10,10,[],[],[],Filters
metacatui-es6/src/js/collections/SolrResults.js,collection,,"['jquery', 'underscore', 'backbone', 'models/SolrHeader', 'models/SolrResult']","['$', '_', 'Backbone', 'SolrHeader', 'SolrResult']",5,5,[],[],[],SolrResults
metacatui-es6/src/js/collections/maps/Geohashes.js,collection,,"['jquery', 'underscore', 'backbone', 'nGeohash', 'models/maps/Geohash']","['$', '_', 'Backbone', 'nGeohash', 'Geohash']",5,5,[],[],[],Geohashes
metacatui-es6/src/js/collections/maps/Features.js,collection,,"['jquery', 'underscore', 'backbone', 'models/maps/Feature']","['$', '_', 'Backbone', 'Feature']",4,4,[],[],[],Features
metacatui-es6/src/js/collections/maps/VectorFilters.js,collection,,"['jquery', 'underscore', 'backbone', 'models/maps/VectorFilter']","['$', '_', 'Backbone', 'VectorFilter']",4,4,[],[],[],VectorFilters
metacatui-es6/src/js/collections/maps/AssetColors.js,collection,,"['jquery', 'underscore', 'backbone', 'models/maps/AssetColor']","['$', '_', 'Backbone', 'AssetColor']",4,4,[],[],[],AssetColors
metacatui-es6/src/js/collections/maps/MapAssets.js,collection,,"['jquery', 'underscore', 'backbone', 'models/maps/assets/MapAsset', 'models/maps/assets/Cesium3DTileset', 'models/maps/assets/CesiumVectorData', 'models/maps/assets/CesiumImagery', 'models/maps/assets/CesiumTerrain', 'models/maps/assets/CesiumGeohash']","['$', '_', 'Backbone', 'MapAsset', 'Cesium3DTileset', 'CesiumVectorData', 'CesiumImagery', 'CesiumTerrain', 'CesiumGeohash']",9,9,[],[],[],MapAssets
metacatui-es6/src/js/collections/bookkeeper/Quotas.js,collection,,"['jquery', 'underscore', 'backbone', 'models/bookkeeper/Quota']","['$', '_', 'Backbone', 'Quota']",4,4,[],[],[],Quotas
metacatui-es6/src/js/collections/bookkeeper/Usages.js,collection,,"['jquery', 'underscore', 'backbone', 'models/bookkeeper/Usage', 'models/bookkeeper/Quota']","['$', '_', 'Backbone', 'Usage', 'Quota']",5,5,[],[],[],Usages
metacatui-es6/src/js/collections/queryFields/QueryFields.js,collection,,"['jquery', 'underscore', 'backbone', 'x2js', 'models/queryFields/QueryField']","['$', '_', 'Backbone', 'X2JS', 'QueryField']",5,5,[],[],[],QueryFields
metacatui-es6/src/js/collections/metadata/eml/EMLAnnotations.js,collection,,"['jquery', 'underscore', 'backbone', 'models/metadata/eml211/EMLAnnotation']","['$', '_', 'Backbone', 'EMLAnnotation']",4,4,[],[],[],EMLAnnotations
metacatui-es6/src/js/collections/metadata/eml/EMLMissingValueCodes.js,collection,,"['backbone', 'models/metadata/eml211/EMLMissingValueCode']","['Backbone', 'EMLMissingValueCode']",2,2,[],[],[],EMLMissingValueCodes
metacatui-es6/src/js/routers/router.js,router,,"['jquery', 'underscore', 'backbone']","['$', '_', 'Backbone']",3,3,[],[],[],UIRouter
metacatui-es6/src/js/themes/dataone/routers/router.js,router,dataone,"['jquery', 'underscore', 'backbone', 'routers/BaseRouter']","['$', '_', 'Backbone', 'BaseRouter']",4,4,[],[],[],UIRouter
metacatui-es6/src/js/themes/drp/routers/router.js,router,drp,"['jquery', 'underscore', 'backbone', 'routers/BaseRouter']","['$', '_', 'Backbone', 'BaseRouter']",4,4,[],[],[],UIRouter
